comment,target
"Любарский, скажите, когда Россия потребовала от Украины отдать Домбас? Какой российский чиновник сказал, что Украина должна отдать Домбас России, и тогда война закончится? Когда и где вы слышали такое требование??? Совсем недавно, несколько месяцев назад, Путин очень четко заявил: украинская армия должна быть выведена. Точка. ВЫВЕДЕНА!!! Без каких-либо упоминаний о Домбасе или других украинских территориях. Это означает вывод войск из Украины. Это капитуляция. И у них нет других желаний. Эти идиоты Витков, Трамп говорил о Домбасе, это была просто их глупость. Путин вытирает ноги о Трампа и всю Америку. Россия предложила Трампу бизнес-планы космического масштаба. Они нереалистичны, у России нет ни единого рубля для инвестиций, и она на световые годы отстает от США в технологиях. Но идиот Трамп падает в обморок от счастья, когда видит цифры, и совершенно не понимает, что это просто издевательство. [Как вам понравилось предложение прорыть туннель между Аляской и Чукоткой?] Россия предлагает Трампу бизнес за сумму, которую она никогда не зарабатывала за всё время своего существования.
Обстрелы Украины усилились, потому что Путин обрёл союзника — президента США Трампа. Трамп служит Путину, это очевидно всем нормальным людям. Документы Эпштейна показывают реальные причины и связи.
И вы смеете обвинять Украину в самообороне и маневрировании в попытке выжить??? В ваших обзорах ложь и демагогия, демагогия и ложь, в каждом слове мы видим школу Ю. Латыниной.",-1
Что несет этот дядя?,-1
"Можно убежать из совка, но только совок в тебе останется навсегда. Так тянет товарища Любарского облизать РФ. Меньше коррупции, больше порядка , ну черт побери, что ты несёшь?",-1
"Лично я жду, что прилетят инопланетяне и сожгут Россию. 
Но, ваш анализ, конечно наводит на грустные размышления. Я вот жду, когда вы сойдетесь со мной, что ""сжечь Конча-Заспу"" - может радикально перенастроить общество. Я не понимаю, как при живых Ахметове, Порошенко, Тимошенко, Зеленском - можно пытаться что-то рефлрмировать.",0
"С Любарским что-то странное происходит. 
А не Трамп ли дал всю поддержку этому?",-1
Вопрос.На сколько Зеленский человечнее ВВП.Жизнь человека для кого больше из них представляет абсолютную ценность?,0
"Я русскоязычный в Украине,. Если вы не понимаете на 13 год войны почему тут некоторых людей корёжит от русской речи, попробуйте как еврей представить, что после гитлеровского концлагеря вы слышите немецкую речь. Удивило бы вас, что некоторых ваших соузников корёжит от немецкой речи? У меня в Харькове снесли памятник Пушкину. Вас удивляет это? Но вы же еврей, насколько я понимаю. Вас не удивляет отсутствие памятников Вагнера в Израиле? Скажите, запрещено Вагнера в Израиле публично на улицах играть, или это мне насвистели?",-1
"Провести переговоры летом в Майами - отличная идея. Запереть Путина с Зеленским в гараже под палящим солнцем и не выпускать, пока не договорятся",1
"Может быть и возможно было сдать Донбасс и прекратить войну, но Трамп же не дал никаких гарантий безопасности. Это именно Трамп сорвал мирные переговоры.",0
"Взгляд из Казахстана. Поспорю Любарским. Если ВСУ отдадут Славянск и Краматорск Путин подпишет мирный договор. Статус русского языка для него отойдёт на второй план. Он может сослаться на то, что Украина всё равно не выполнит соглашение по языку. А здесь готовые территории.. Можно будет сказать со Славянска всё начиналось и здесь всё должно быть закончено.",0
"К окончанию 4 года войны Любарский начал осозновать, что Россия клепает ракеты. Да он гений. Осталось только понять, что Запад не клепает ракеты, а в чистую проиграл гонку вооружений. Поэтому Россия вынесет если нужно и Украину , и Европу отправив их в 17 век. В старину умные правители заключали мир на условиях победителя до уничтожения своей страны. Зеленский будет воевать до последнего украинца и полного уничтожения экономики. Любарский будет ругать Трампа. Только ни хрена это не изменит. Россия не допустит на своей границе враждебное государство, которое угрожает безопасности.",-1
"Вся так называемая помощь Запада – уже менее 0,2% ВВП. Никогда в своей истории Запад во главе с США не переживал такого позора!",0
"Из всех вариантов Украина выбирет самый плохой. То есть, хотите знать как всё будет дальше, исходите из указанного правила.",0
"У Украины уже был компромисс— Будапештский меморандум. Вы хотите толкнуть Украину на подписание еще одной филькиной грамоты? Сами же говорите, что Трамп не дает гарантий безопасности. Хорошие учителя у Украины были. Научили, что ваши гарантии не стоят куска бумаги, на которой они подписаны.",-1
"Как же он достал своими сроками,этот рыжий президент просто рехнулся умом,неужели было до сих пор непонятно?, что с террористами и убийцами переговоры не ведут!",-1
Да. Абсурд. Извилин у народа мало. Только две.,-1
"вина которую предьявят сша в качестве оплаты за проезд : будет интересная ,трам когда критиковал байдена за капельные поставки оружия делает то же самое и спектакль который они все играют очень прост ,сперва замануха ,потом глубокий вход россии что бы не имели возможности выйти и громкие крики ...это не моя вина это все байден виноват ,но сливки почему то сгребает все то же сша ,значит байден не так уж и виноват . а если бы не было россии то и оружие сша ни кому не нужно бы было .т.е. сперва в мире создается проблема ,а потом те кто ее создал помогают ее разруливать",0
"""трамп дал срок до йюня"" - эта как за 24 часа? или чтото иное?",0
"Сопротивление ""мирового' чего? Говна?",-1
"Это уже похоже на сериал,перекройте денежный ручеек,и войза закончится через неделю",0
Смотрю что-то логика Сергея кастрле галовым не очень нравится.,-1 
"Уважаемый Сергей! Как всегда комар носа не подточит! Эту тему Вы осветили превосходно! Жаль только, что на руснявом тв об этом никто не упомянет, им хоть сц@ в глаза.... А Вам БРАВО!!!",1
Отличная лекция!,1
Хороший ролик. Понравился.,1
"Спасибо огромное очень интересная информация,,,",1
"Очень интересно. Правда, ощущается тенденциозное о ношение к России. Иван Грозный - кровавый тиран. Его современник Генрих VIII ничем не лучше. Прежде чем русские начнут извиняться перед татарами, наверное, те должны извиниться первыми за 200 лет набегов и чудовищных разрушений.",1
Спасибо за правдивую информацию.,1
"Спасибо большое за труд. Слушал с интересом. Век живи, век учись",1
"Спасибо, было очень интересно-поучительно",1
"Нравится,хороший канал смотрел,смотрю и буду смотреть,молодец !",1
Отличный ролик,1
Очень правильно рассказано и всё верно.,1
"️«С ТОЧКИ ЗРЕНИЯ СЕГОДНЯШНЕЙ МОРАЛИ « Благодарю Вас ! Это , я бы сказала, всё та же теория относительности. Спасибо ещё раз! You made my day! С точки зрения морали мы не должны сравнивать, потому что сегодняшняя мораль не применима… А как устанавливают границы применения и не применения моралей ?",1
"Очень интересные подробности, спасибо",1
"С детства начитавшись Купера всегда интересовался индейцами но здесь оказалась очень много новых сведений, спасибо!",1
Спасибо,1
Очень интересно! спасибо,1
"Спасибо за историю. Аманат - это история тюркская, пришедшая из древности. Козаки - это бастарды тюрков, обращенные в православие, поэтому в их традиции вошло это понятие, которое естественно извращенно до жестокости. На самом деле аманат - процесс, история которого очень интересный. Прочтите про это.",1
"Очень убедительно по сути, но всё-таки постарайтесь уменьшить количество оговорок... Как-то обидно становится за замечательного и уважаемого автора!",1
"Класс, новая история, с запашком",1
"Спасибо огромное ! Вы открыли мне глаза, дали возможность посмотреть на Аляску с другой стороны.",1
Очень интересная передача! Спасибо Сергей!,1
"Спасибо, УВ.Сергей! Очень полезная информация!)",1
"Спасибо за информацию, огромное спасибо. Столько нового узнала.",1
Очень интересно Спасибо,1
"Спасибо, актуально",1
"Получаю большое удовольствие от этих сравнительных исторических экскурсов, спасибо)",1
"Спасибо за информацию. Ведь всем нам , в школе ещё говорили небылицы . И многие до сих пор рвут горло про русскую Аляску. А ведь легко устроить пропаганду , Расторгуев спел про Аляску и понеслось по всей России . Те кто живёт в России с ненавистью завидуют тем кто живёт за границей .",1
"Спасибо, очень увлекательно и познавательно.",1
"Спасибо за поделившееся видео, оно потрясающее! У меня есть простой вопрос: в моем кошельке OKX есть немного USDT, и у меня есть 12 слов (clap zone acid tube also among tape museum boy film soda salt). Как я могу отправить их на Binance?",1
Спасибо. Интересный эескурс в историю,1
Поддерживаю!,1
"Мощный ролик! Сергей, спасибо за ваш труд!",1
"Спасибо, Сергей. Емко, доходчиво, информативно , как всегда.",1
"13:15 Фолликул, не фурункул ! Спасибо Сергей, за очень интересный выпуск!",1
"В целом согласен. Но почему сделан акцент на русских? А британцы выставлены белыми и пушистыми. Они и сейчас пытают самыми извращенными методами. А афганистан, а черноопые кавказцы? А про свой народец гуманный что не упомянул? Достаточно Ветхий завет почитать, чтоб понять, что исключений не было. А что вы сегодня в Газе творите? Согласен, те еще те животные, но вы то не лучше. Вывод то прост времена идут, а ничего не меняется.",1
Уважаемый расскажи про резервации индейцев ! Которые до сей пор существуют .,1
Я узнал много нового про покупку Аляски. Большое спасибо Автору видео,1
"Спасибо, как всегда очень приятная манера подачи информации, логично и справедливо.",1
"Живу на Дальнем Востоке,неоднократно бывал в Петропавловск-Бомжатском фото достоверны подтверждаю!",1
Повезло всем у кого нет границ с рфией...,0
"Аляске сказочно повезло, что ее продали!",1
"Я живу в Канаде и канадцы очень любят круизы на Аляску,все приезжают в полном восторге .Им даже устраивают рыбалку на горбушу и затем эту рыбу присылают в Канаду.Аляска просто щастливица ,что стала американской.",0
"Был на Камчатке в 1979 и путешествовал по Аляске в течение месяца в 2008 в рех туристических маршрутах от Прудое, Фэйбенска до Анекориджа, сплавлялся по бурной реке, на байдарке, летал на вертолете над горами, фотографировал ландшафт, ледники, видел свободных людей, которые могут работать и отдыхать",0
"Спасибо, Сергей. 
Очень кратко и информативно.",1
"Моя подруга из Одессы. Мы общаемся каждый день, их бомбят, муж мобилизован, она просит меня как можно меньше говорить о войне, иначе, она говорит - совсем поеду мозгами. Она хореограф, ставит спектакли, вчера ходила в цирк, по её словам - окунуться в чистое счастье. Говорит в театр на драму не могу и не хочу. Это такое психологическое явление, человек не может 4 года подряд заглядывать в бездну смерти это механизм психологической защиты от этой беды, стараться жить так, будто войны не существует. Пишу Вам из Израиля, потому на собственной шкуре понимаю, о чем говорю. Во время последней иранский войны, ежедневно до бомбежки танцевала фламенко и ездила в магазин, с макияжем...",0
"Повністю згоден з Марком с приводу що нас влаштовує моя хата з краю. На початку повномасштабки люди і вийшли не за свою державність, а саме за свою хату та свої сімї. Потім зрозуміли що війна якась дивна, допомога якась дивна, держава з людьми не еволюціонували і всі рукою махнули продовжили піклуватись про свої сімї.",1
"Сергей, ваша упоротость просто поражает. Вам Марк Солонин прямо говорит - пиздят власти миллиардами на ненужных асфальтах, уже живые готовые к использованию деньги. Но у вас сальмон в супермаркете, привезенный частным бизнесом, застрял в глазу. Этот сальмон сейчас покупает несколько процентов от всего населения, абсолютное большинство сводит концы с концами. Вы просто проживаете в Киеве, самом благополучном с финансовой стороны городе Украины. Вы действительно не можете соотнести несопоставимое?",-1
"Думаю интересно сделать передачу: Как продавали оружие Украины с 1991г, если не страшно.",0
Моя хата с краю формула выживания народа в отсутствии государства,0
"Киевская городская власть укладывает не асфальт и бордюр, а наши деньги себе в карман.",0
"Хочу попытаться объяснить отношение
"" рядового"" украинца к власти.
В любой момент своей жизни, когда я обращался к государству за помощью, не важно за какой. Получить какую-то справку, заболел, рождается ребёнок (а их у меня три), я всегда слышал одно- ""дай"". Поэтому такое отношение.",0
"Сергей отличный образец постсоветского человека, успев вовремя сигануть за забор, на территорию где живётся хорошо и сытно, а теперь требует натянуть поверх этого забора колючку и пустить по ней ток.",-1
"Мой муж воюет, я сижу под бомбами и без света, я работаю и плачу налоги в бюджет Украины. И я та самая женщина, которая ходит по Крещатику накрашенная и иногда сижу в кафе или в ресторане. В чем нонсенс, почему п Любарского удивляют накрашенные девушки на Крещатике? Хотя он сказал , что ничего не имеет против них, прозвучало не убедительно ...",-1
"Финальная фраза очень печальна,но,наверное и к сожалению правдива...",1
"Люди стараются о войне не говорить даже дома , на кухне, не говоря уже в компании.Разные взгляды, разное отношение к происходящему, поэтому лучше не говорить о войне.Кого коснулось, того коснулось, а не коснулось- авось пронесёт! Так и живём...",0
23:37 Чистейшую укр.речь в Канаде услышать крайне сложно. Любарский что-то путает.,-1
"Уважаемый Сергей ! Если Вы Аналитик, то не будете так эмоционален, как Пропагандист . Иосиф",-1
"Статистика Кубы — это величайшая иллюзия. Высокие места в рейтингах (ИЧР) они держат за счет медицины и грамотности, заложенных еще 40 лет назад. Но цифры не едят.
В реальности на Кубе сейчас худший кризис за полвека: зарплаты по $20–30, очереди за хлебом по 8 часов и веерные отключения света просто из-за ветхости ТЭС. В Украине, даже несмотря на тяжелейшую войну, работают банки, сервисы, бизнес и полные магазины.
Соцсети не врут: на Кубе люди бегут от безнадежности и пустоты, а в Украине борются за будущее. На бумаге ты — здоровый и грамотный кубинец, а на деле — не можешь купить пачку аспирина без связей. Статистика — это цифры, а жизнь — это возможности, которых на Кубе сейчас просто нет",0
"Сдается мне, что когда Сергей говорит о Арестовиче то его позиция определяется не проходящей обидой за отказ Арестовича дебатировать с ним",-1
"Если наше правительство хочет воевать,пусть идут на фронт дети наших депутатов,сколько можно это терпеть",1
"Изменчива наша земная стезя,
Идём то туда, то обратно.
Зайти в одну воду конечно нельзя,
А в то же говно - многократно...",0
"Одна болтология в Европе, на том все и закончится.",-1
"Киру Стармеру хочется посоветовать для начала нарастить силу настолько, чтобы прекратить изнасилование девочек на своей суверенной территории и прекратить отрытую пропаганду уничтожения существующего порядка и замены его на религиозные нормы",0
"ТЦК ненавидят вовсе не потому, что не хотят воевать, а потому что эти нелюди творят беспредел. Пытают, похищают, у6ивают и калечат. И это не ""перегибы на местах"", а системное явление.",1
Про американскую ФБР мафию будет? Которая за яйца клан Байденов держала? Эпштайн в тюрьме в США как так самоубился? Это средневековье или это другое?,1
"Эта тетечка ранее сказала, что если бензин дорогой, то европейцы должны сесть на велосипеды.",0
"Ни один из этих ""лидеров"" не сказал о не контролируемой миграции и что они будут делать с теми мусульманами, которые уже являются гражданами. Ужас!!!",-1
"Чем пафоснее слова политика, тем меньше стоит ожидать от него действий.",0
"Этот ""великй эксперт"" современности перед войной 2022 говорил, что, если начнётся война, он первый возьмёт в руки оружие и пойдёт на фронт воевать... он только забыл указать, какой фронт - фронт болтологии и краснобайства...",1
Гордон уже давно переплюнул профессора Соловья.,0
"Включил начало погромче, жена меня выгнала с кухни, я ржал как конь",-1
"Гордон говорит - ""война навсегда"", видимо скоро закончится.",1
"Пока живы такие гордоны, портниковы и им подобные, война действительно не закончится.",0
Самое печальное что такие даже спустя 4 года всё ещё в топах . это большой материал для психиатрии масс,0
